arquivo, memoria, tempo, confiança, predito
p105_s00_a01.wav, 505104, 0:05.49, 0.9999986886978149,105
p13_s04_a00.wav, 498192, 0:05.39, 0.9999986886978149,13
p14_s04_a00.wav, 507220, 0:05.16, 0.9999880790710449,14
p27_s01_a01.wav, 500772, 0:06.40, 0.9247081875801086,87
p53_s00_a00.wav, 502088, 0:05.61, 0.9736874103546143,36
p58_s01_a01.wav, 506296, 0:05.71, 0.9999992847442627,21
p65_s04_a01.wav, 503900, 0:05.63, 0.9994381070137024,65
p81-s04-a00.wav, 503804, 0:05.57, 0.9825760126113892,57
p82-s00-a01.wav, 503320, 0:05.70, 0.9999933242797852,82
p84-s01-a00.wav, 502204, 0:05.46, 0.5027852058410645,42
