arquivo, memoria, tempo, confiança, predito
Frase 1-1.wav, 501396, 0:05.04, 0.9103489518165588,77
Frase 1-2.wav, 507380, 0:05.29, 0.9999200105667114,77
Frase 1-2.wav, 507380, 0:05.29, 0.9965219497680664,59
Frase 2-1.wav, 507364, 0:05.38, 0.9988707900047302,51
Frase 4-1.wav, 500528, 0:05.71, 0.7901594638824463,46
Frase 5-1.wav, 508700, 0:05.92, 0.4052232801914215,25
Frase 5-2.wav, 501360, 0:05.63, 0.9993403553962708,77
Frase 5-3 (ruído).wav, 499332, 0:05.84, 0.406247079372406,36
Frase aleatória (inglês) 1.wav, 508564, 0:05.77, 0.5283545851707458,46
Frase aleatória (inglês) 2.wav, 503504, 0:06.02, 0.999897837638855,77
Frase aleatória (inglês) 3.wav, 509672, 0:07.19, 0.5134955644607544,2
Frase aleatória (inglês) 5.wav, 501456, 0:05.87, 0.9122918248176575,49
Frase aleatória (inglês) 6 (ruído).wav, 499100, 0:06.29, 0.43156909942626953,10
Frase aleatória (português) 1.wav, 504824, 0:05.85, 0.7506812810897827,98
Frase aleatória (português) 2.wav, 501180, 0:06.11, 0.8888408541679382,59
Frase aleatória (português) 3 (ruído).wav, 505980, 0:05.84, 0.5439468622207642,77
Frase aleatória (português) 4 (ruído).wav, 502576, 0:05.93, 0.9997970461845398,98
Frase aleatória (português) 5 (ruído).wav, 504088, 0:06.32, 0.9996163845062256,106
Frase aleatória (português) 5 (ruído).wav, 504088, 0:06.32, 0.9826467633247375,19
Frase aleatória (português) 6 (ruído).wav, 500852, 0:05.94, 0.9845600128173828,67
bruno.wav, 500004, 0:06.07, 0.5870708227157593,2
bruno2.wav, 504892, 0:06.00, 0.9888097643852234,46
bruno3.wav, 500548, 0:08.03, 0.4441162049770355,12
bruno4.wav, 503520, 0:06.02, 0.5281367301940918,12
bruno5.wav, 501772, 0:05.97, 0.4580371677875519,12
bruno_fonevelho.wav, 510360, 0:06.63, 0.9995649456977844,90
bruno_fonevelho.wav, 510360, 0:06.63, 0.8576891422271729,76
bruno_fonevelho.wav, 510360, 0:06.63, 0.8396212458610535,82
bruno_micruido.wav, 512040, 0:06.43, 0.8649473786354065,36
bruno_micruido.wav, 512040, 0:06.43, 1.0,105
bruno_micruido.wav, 512040, 0:06.43, 0.9973063468933105,105
bruno_micruido.wav, 512040, 0:06.43, 0.9678244590759277,26
