arquivo, memoria, tempo, confiança, predito
Frase 1-1.wav, 488596, 0:04.60, 0.19249045848846436,44
Frase 1-2.wav, 493152, 0:05.52, 0.3936569094657898,77
Frase 1-2.wav, 493152, 0:05.52, 0.1309640109539032,102
Frase 2-1.wav, 490292, 0:05.15, 0.48953282833099365,53
Frase 4-1.wav, 489828, 0:05.08, 0.5796434283256531,102
Frase 5-1.wav, 490020, 0:04.83, 0.4645153880119324,102
Frase 5-2.wav, 492736, 0:05.00, 0.2624491751194,47
Frase 5-3 (ruído).wav, 488488, 0:05.00, 0.3134956359863281,24
Frase aleatória (inglês) 1.wav, 487188, 0:05.00, 0.8154693245887756,101
Frase aleatória (inglês) 2.wav, 484744, 0:05.00, 0.36193960905075073,53
Frase aleatória (inglês) 3.wav, 492300, 0:05.03, 0.29162368178367615,47
Frase aleatória (inglês) 5.wav, 492556, 0:05.09, 0.37005382776260376,101
Frase aleatória (inglês) 6 (ruído).wav, 490332, 0:05.13, 0.3325289785861969,101
Frase aleatória (português) 1.wav, 491772, 0:05.05, 0.273040771484375,47
Frase aleatória (português) 2.wav, 492504, 0:05.01, 0.2673729360103607,102
Frase aleatória (português) 3 (ruído).wav, 490596, 0:05.51, 0.252384215593338,101
Frase aleatória (português) 4 (ruído).wav, 479012, 0:05.16, 0.3288397789001465,101
Frase aleatória (português) 5 (ruído).wav, 484152, 0:05.24, 0.25038954615592957,47
Frase aleatória (português) 5 (ruído).wav, 484152, 0:05.24, 0.7807822227478027,47
Frase aleatória (português) 6 (ruído).wav, 483016, 0:05.09, 0.2561483383178711,47
bruno.wav, 495256, 0:05.03, 0.28075873851776123,97
bruno2.wav, 486776, 0:05.01, 0.8392212390899658,97
bruno3.wav, 492408, 0:04.97, 0.5478622317314148,97
bruno4.wav, 494188, 0:05.05, 0.2155669629573822,92
bruno5.wav, 479216, 0:05.00, 0.6363542079925537,97
bruno_fonevelho.wav, 492220, 0:05.54, 0.3156983256340027,49
bruno_fonevelho.wav, 492220, 0:05.54, 0.2906208634376526,46
bruno_fonevelho.wav, 492220, 0:05.54, 0.5928227305412292,44
bruno_micruido.wav, 489372, 0:05.76, 0.9845763444900513,97
bruno_micruido.wav, 489372, 0:05.76, 0.997481644153595,97
bruno_micruido.wav, 489372, 0:05.76, 0.9884627461433411,97
bruno_micruido.wav, 489372, 0:05.76, 0.9973090887069702,97
